Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
ccan/ccan/tal/path/path.c                                        407               303    25.55%          17                 9    47.06%         315               239    24.13%         216               182    15.74%
ccan/ccan/tal/str/str.c                                          187                87    53.48%          12                 2    83.33%         223               100    55.16%         118                83    29.66%
ccan/ccan/tal/tal.c                                              444               103    76.80%          52                 5    90.38%         591               130    78.00%         256                90    64.84%
ccan/ccan/tcon/tcon.h                                              2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
ccan/ccan/time/time.c                                             32                23    28.12%           8                 5    37.50%          77                54    29.87%          14                13     7.14%
ccan/ccan/time/time.h                                             66                17    74.24%          33                14    57.58%         187                85    54.55%          12                 3    75.00%
ccan/ccan/timer/timer.c                                          298                88    70.47%          27                 4    85.19%         298                86    71.14%         122                43    64.75%
ccan/ccan/utf8/utf8.c                                             68                25    63.24%           2                 1    50.00%         101                39    61.39%          50                19    62.00%
ccan/ccan/utf8/utf8.h                                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
channeld/channeld_wiregen.c                                      862               232    73.09%         104                18    82.69%        1350               284    78.96%         468               215    54.06%
channeld/inflight.c                                               17                11    35.29%           3                 2    33.33%          45                31    31.11%          10                 6    40.00%
closingd/closingd_wiregen.c                                       91                20    78.02%          12                 1    91.67%         175                29    83.43%          50                25    50.00%
common/addr.c                                                     21                 1    95.24%           1                 0   100.00%          23                 1    95.65%          12                 1    91.67%
common/amount.c                                                  307                78    74.59%          63                 6    90.48%         410                77    81.22%         138                51    63.04%
common/autodata.c                                                 24                 2    91.67%           4                 0   100.00%          32                 3    90.62%           4                 1    75.00%
common/autodata.h                                                  2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
common/base32.c                                                   11                 1    90.91%           2                 0   100.00%          13                 1    92.31%           2                 1    50.00%
common/base64.c                                                    4                 4     0.00%           1                 1     0.00%           8                 8     0.00%           0                 0         -
common/bech32.c                                                  179                17    90.50%           7                 0   100.00%         162                 6    96.30%         134                26    80.60%
common/bech32_util.c                                              75                 3    96.00%           7                 0   100.00%          88                 2    97.73%          36                 6    83.33%
common/bigsize.c                                                  52                13    75.00%           5                 0   100.00%         103                29    71.84%          36                12    66.67%
common/bip32.c                                                    16                 3    81.25%           4                 0   100.00%          22                 3    86.36%           6                 3    50.00%
common/blindedpath.c                                              47                 8    82.98%           8                 0   100.00%         109                 8    92.66%          18                 8    55.56%
common/blinding.c                                                  7                 0   100.00%           3                 0   100.00%          19                 0   100.00%           0                 0         -
common/blockheight_states.c                                      116                23    80.17%          10                 1    90.00%          96                17    82.29%          42                 9    78.57%
common/bolt11.c                                                  588               135    77.04%          46                 4    91.30%         680               130    80.88%         252                85    66.27%
common/bolt11_json.c                                              69                 0   100.00%           2                 0   100.00%          95                 0   100.00%          40                 3    92.50%
common/bolt12.c                                                  268                88    67.16%          33                 4    87.88%         335                73    78.21%         126                44    65.08%
common/bolt12_merkle.c                                            70                 3    95.71%          12                 0   100.00%         132                 1    99.24%          16                 2    87.50%
common/channel_config.c                                            2                 0   100.00%           2                 0   100.00%          18                 0   100.00%           0                 0         -
common/channel_id.c                                               27                 0   100.00%           6                 0   100.00%          43                 0   100.00%           4                 0   100.00%
common/channel_type.c                                            121                 8    93.39%          14                 1    92.86%         120                10    91.67%          34                 8    76.47%
common/codex32.c                                                 245                55    77.55%          14                 0   100.00%         239                37    84.52%         106                29    72.64%
common/coin_mvt.c                                                251                21    91.63%          26                 1    96.15%         293                17    94.20%          36                 6    83.33%
common/configdir.c                                               234                11    95.30%          23                 2    91.30%         269                11    95.91%          72                 6    91.67%
common/configvar.c                                               178                14    92.13%          10                 0   100.00%         151                 7    95.36%          82                10    87.80%
common/daemon.c                                                   85                23    72.94%          14                 3    78.57%         117                32    72.65%          34                13    61.76%
common/derive_basepoints.c                                        95                23    75.79%          15                 3    80.00%         154                43    72.08%          62                30    51.61%
common/derive_basepoints.h                                         6                 0   100.00%           2                 0   100.00%           8                 0   100.00%           0                 0         -
common/ecdh_hsmd.c                                                11                 3    72.73%           2                 0   100.00%          14                 3    78.57%           6                 3    50.00%
common/features.c                                                284                50    82.39%          24                 1    95.83%         326                38    88.34%         130                29    77.69%
common/fee_states.c                                              124                 3    97.58%          12                 0   100.00%         108                 2    98.15%          46                 3    93.48%
common/hash_u5.c                                                  18                 1    94.44%           3                 0   100.00%          32                 1    96.88%          10                 2    80.00%
common/hmac.c                                                     18                 0   100.00%           7                 0   100.00%          27                 0   100.00%           0                 0         -
common/hsm_encryption.c                                           73                22    69.86%           7                 0   100.00%         101                36    64.36%          36                15    58.33%
common/htlc.h                                                      7                 1    85.71%           2                 1    50.00%          20                 7    65.00%           2                 0   100.00%
common/htlc_state.c                                               10                 1    90.00%           2                 0   100.00%          12                 1    91.67%           4                 1    75.00%
